,F_norm_1,F_norm_2,F_tang_1,F_tang_2,Ft90_1,Ft90_2,angle_1,angle_2
0,5181.9833984375,5587.396484375,2162.9990234375,1650.0836181640625,5223.3585638715494,4453.6134945716203,45.0,45.0
45,18538.6484375,16578.857421875,-2803.551513671875,-2185.011962890625,1511.126140652053,1718.9879303109842,45.0,45.0
